,datetime,amount,merchant,mcc,location,currency,card_type,card_exp_date,response_code,flagged_as_fraud,previous_transactions,source,device
0,2022-09-24 13:54:27,285.88,"Rajagopalan, Ghose and Kant",3590,Khammam,INR,MasterCard,04/29,5,1,,Online,Tablet
1,2020-07-24 11:20:13,1777.32,Sule PLC,7277,Vasai-Virar,EUR,American Express,03/26,12,1,,Online,Mobile
2,2023-03-18 01:05:36,3939.01,Badal PLC,9297,Nangloi Jat,USD,Visa,11/29,5,1,3 or more,In-Person,Mobile
3,2021-01-07 21:53:04,376.44,Konda-Sodhi,5686,Ramagundam,USD,Visa,09/25,5,0,2,In-Person,Tablet
4,2021-12-16 06:22:24,1687.33,Dua Ltd,2940,Adoni,INR,MasterCard,03/31,5,1,2,Online,Desktop
5,2020-01-14 21:03:12,3341.97,Ramesh Inc,9661,Farrukhabad,USD,American Express,05/27,5,1,2,In-Person,Mobile
6,2021-07-25 18:24:30,1212.14,"Sachar, Gera and Deol",8036,Agartala,USD,MasterCard,02/30,0,0,1,In-Person,Desktop
7,2022-05-08 10:49:06,1117.52,"Bhasin, Jain and Chada",5678,Dehri,EUR,Visa,09/26,12,0,2,Online,Mobile
8,2022-08-19 23:40:26,388.16,Sha Inc,5772,Gangtok,EUR,Visa,12/25,12,0,1,In-Person,Desktop
9,2022-09-10 05:59:18,4514.53,"Sant, Chawla and Wali",8521,Aizawl,USD,Visa,08/29,0,1,3 or more,In-Person,Tablet
10,2020-04-19 15:18:20,1805.22,Roy-Dugar,2861,Darbhanga,EUR,American Express,10/28,12,1,2,In-Person,Mobile
11,2022-06-23 19:54:43,2346.0,"Sarin, Vaidya and Thaman",9217,Thoothukudi,EUR,American Express,03/26,0,0,1,Online,Tablet
12,2021-04-09 05:43:03,453.19,"Bose, Krishnamurthy and Deep",7385,Kamarhati,INR,Visa,04/29,0,1,,Online,Mobile
13,2020-05-06 12:44:44,2538.36,Luthra-Bandi,8648,Tadipatri,USD,Visa,05/26,0,0,2,In-Person,Mobile
14,2021-10-10 00:09:01,4572.85,Anand Group,3001,Vijayanagaram,EUR,MasterCard,12/24,5,0,,In-Person,Desktop
15,2022-05-03 17:20:53,4172.21,"Randhawa, Khanna and Kamdar",2162,Bhagalpur,USD,Visa,08/30,5,1,1,In-Person,Mobile
16,2023-03-21 18:41:07,1042.79,Warrior Ltd,1654,Bokaro,INR,Visa,12/28,0,1,,In-Person,Mobile
17,2022-11-08 20:57:13,907.46,Brar LLC,8544,Hyderabad,INR,MasterCard,12/27,0,0,2,In-Person,Desktop
18,2023-04-02 10:46:13,3347.31,Bhatnagar-Sodhi,9263,Vijayawada,INR,MasterCard,02/31,12,1,2,In-Person,Desktop
19,2022-05-17 17:20:40,4014.63,"Butala, Saraf and Banik",3962,Cuttack,INR,MasterCard,03/26,12,0,2,In-Person,Tablet
20,2023-05-30 06:03:16,2971.68,Bawa Ltd,5122,Haldia,USD,MasterCard,01/24,12,0,,In-Person,Tablet
21,2023-08-26 20:52:13,754.33,"Gera, Dora and Dara",1551,Malda,INR,Visa,08/30,5,0,,Online,Mobile
22,2020-07-17 20:10:12,73.77,"Verma, Issac and Kapadia",4751,Bidar,USD,MasterCard,12/29,0,1,3 or more,Online,Tablet
23,2023-05-31 23:20:36,3006.39,Acharya-Kashyap,1046,Kurnool,INR,American Express,10/26,0,0,,In-Person,Mobile
24,2023-10-08 10:03:28,840.62,Bhargava-Mangat,9491,Meerut,EUR,MasterCard,12/28,5,0,,In-Person,Desktop
25,2021-09-12 22:28:26,4666.18,"Kothari, Dhillon and Sandhu",4830,Dharmavaram,USD,Visa,01/30,12,0,1,Online,Mobile
26,2022-07-06 19:24:31,2921.57,Sankaran-Sandal,3197,Khammam,INR,Visa,07/30,5,1,2,In-Person,Tablet
27,2020-11-08 09:53:02,4326.69,Venkataraman-Dhar,1655,Erode,USD,MasterCard,07/29,0,1,3 or more,Online,Desktop
28,2023-05-02 00:09:44,1448.31,"Swamy, Chawla and Boase",6818,Bareilly,USD,American Express,04/27,12,1,3 or more,In-Person,Mobile
29,2023-01-24 14:45:11,2480.39,Grover Inc,8174,Kavali,EUR,Visa,10/26,5,1,2,In-Person,Mobile
30,2021-06-16 16:51:37,923.31,Seshadri LLC,2954,Jehanabad,INR,MasterCard,01/27,0,0,1,In-Person,Mobile
31,2022-08-22 19:30:40,2613.96,Ramanathan-Bera,7166,Hyderabad,INR,American Express,02/25,12,0,2,Online,Tablet
32,2020-02-21 04:44:43,4525.17,Jha-Maharaj,9106,Madanapalle,USD,American Express,08/30,0,0,2,Online,Desktop
33,2020-04-19 16:54:35,4469.12,Baral-Zachariah,2539,Indore,INR,MasterCard,06/29,5,1,3 or more,Online,Mobile
34,2020-10-03 02:13:51,380.84,Jain PLC,8801,Mahbubnagar,USD,MasterCard,10/26,5,0,1,Online,Mobile
35,2022-06-08 12:21:31,1052.74,Bedi-Bhat,1777,Muzaffarnagar,EUR,American Express,01/31,0,0,,In-Person,Mobile
36,2021-12-14 02:22:11,3633.43,Sodhi-Agrawal,8190,Malda,EUR,American Express,04/31,12,1,3 or more,Online,Tablet
37,2020-03-26 13:47:26,120.89,Iyengar-Garde,1946,Secunderabad,EUR,American Express,05/29,5,1,,Online,Mobile
38,2023-05-29 11:03:55,869.66,Batra and Sons,1455,Jalgaon,EUR,MasterCard,11/26,5,1,1,In-Person,Mobile
39,2022-03-31 14:10:25,846.89,Thakur-Trivedi,3102,Bongaigaon,USD,American Express,06/25,5,1,3 or more,In-Person,Mobile
40,2022-12-27 09:35:58,4432.28,"Divan, Cheema and Dugar",1880,Jehanabad,INR,Visa,10/24,0,1,,In-Person,Desktop
41,2020-06-01 21:41:24,4801.36,Soman LLC,2558,Jalna,EUR,Visa,10/31,5,1,,Online,Mobile
42,2022-12-11 01:32:52,441.26,Jayaraman-Butala,2091,Gopalpur,EUR,MasterCard,06/32,5,0,3 or more,Online,Mobile
43,2020-09-25 11:47:59,1021.92,"Reddy, Ghose and Deshmukh",6541,Vellore,USD,Visa,08/30,12,0,3 or more,Online,Mobile
44,2021-01-21 09:03:26,2074.03,Varghese Inc,2280,Sirsa,USD,Visa,08/30,12,1,3 or more,In-Person,Tablet
45,2023-01-23 12:19:51,1352.51,Sridhar Inc,7971,Latur,INR,Visa,05/31,5,1,3 or more,Online,Tablet
46,2021-03-11 10:58:39,87.11,Basu and Sons,7587,Begusarai,INR,American Express,01/28,0,1,,Online,Mobile
47,2022-02-22 13:28:50,268.18,Vasa-Agate,6762,Vadodara,USD,American Express,10/29,0,0,3 or more,Online,Tablet
48,2020-02-23 01:11:10,2058.95,Ratti-Bhatti,3507,Faridabad,INR,Visa,06/33,12,1,2,In-Person,Mobile
49,2023-02-15 23:05:41,3436.84,"Bassi, Bora and Master",9592,Jabalpur,EUR,American Express,08/33,12,1,,Online,Desktop
50,2023-03-12 22:43:39,531.41,Issac-Sane,8084,Fatehpur,EUR,MasterCard,08/28,0,1,3 or more,In-Person,Tablet
51,2021-07-21 18:54:00,350.56,"Deshpande, Sachdeva and Master",1378,Saharsa,EUR,MasterCard,01/28,5,0,1,In-Person,Mobile
52,2020-07-04 11:38:54,1594.56,Sankar-Soni,3271,Bahraich,USD,MasterCard,03/28,0,0,1,Online,Desktop
53,2020-07-22 03:34:30,1842.12,Mammen-Chokshi,7267,Panvel,EUR,Visa,05/31,0,0,,Online,Tablet
54,2020-09-13 22:11:31,230.1,Mand Ltd,7258,Ichalkaranji,INR,American Express,06/25,12,1,1,In-Person,Mobile
55,2023-01-02 23:07:49,3752.75,Gopal-Yadav,5382,Anantapuram,INR,American Express,05/31,0,0,1,In-Person,Tablet
