,datetime,amount,merchant,location,currency,card_type,card_exp_date,response_code,flagged_as_fraud,previous_transactions,source,device,mcc_group
0,2022-09-24 13:54:27,285.88,"Rajagopalan, Ghose and Kant",Khammam,INR,MasterCard,2029-04-01,Invalid,True,0,Online,Tablet,Unknown
1,2020-07-24 11:20:13,1777.32,Sule PLC,Vasai-Virar,EUR,American Express,2026-03-01,Declined,True,0,Online,Mobile,Miscellaneous stores
2,2023-03-18 01:05:36,3939.01,Badal PLC,Nangloi Jat,USD,Visa,2029-11-01,Invalid,True,3,In-Person,Mobile,Government services
3,2021-01-07 21:53:04,376.44,Konda-Sodhi,Ramagundam,USD,Visa,2025-09-01,Invalid,False,2,In-Person,Tablet,Clothing stores
4,2021-12-16 06:22:24,1687.33,Dua Ltd,Adoni,INR,MasterCard,2031-03-01,Invalid,True,2,Online,Desktop,Contracted services
5,2020-01-14 21:03:12,3341.97,Ramesh Inc,Farrukhabad,USD,American Express,2027-05-01,Invalid,True,2,In-Person,Mobile,Government services
6,2021-07-25 18:24:30,1212.14,"Sachar, Gera and Deol",Agartala,USD,MasterCard,2030-02-01,Accepted,False,1,In-Person,Desktop,Professional services and membership organizations
7,2022-05-08 10:49:06,1117.52,"Bhasin, Jain and Chada",Dehri,EUR,Visa,2026-09-01,Declined,False,2,Online,Mobile,Clothing stores
8,2022-08-19 23:40:26,388.16,Sha Inc,Gangtok,EUR,Visa,2025-12-01,Declined,False,1,In-Person,Desktop,Miscellaneous stores
9,2022-09-10 05:59:18,4514.53,"Sant, Chawla and Wali",Aizawl,USD,Visa,2029-08-01,Accepted,True,3,In-Person,Tablet,Professional services and membership organizations
10,2020-04-19 15:18:20,1805.22,Roy-Dugar,Darbhanga,EUR,American Express,2028-10-01,Declined,True,2,In-Person,Mobile,Contracted services
11,2022-06-23 19:54:43,2346.0,"Sarin, Vaidya and Thaman",Thoothukudi,EUR,American Express,2026-03-01,Accepted,False,1,Online,Tablet,Government services
12,2021-04-09 05:43:03,453.19,"Bose, Krishnamurthy and Deep",Kamarhati,INR,Visa,2029-04-01,Accepted,True,0,Online,Mobile,Business services
13,2020-05-06 12:44:44,2538.36,Luthra-Bandi,Tadipatri,USD,Visa,2026-05-01,Accepted,False,2,In-Person,Mobile,Professional services and membership organizations
14,2021-10-10 00:09:01,4572.85,Anand Group,Vijayanagaram,EUR,MasterCard,2024-12-01,Invalid,False,0,In-Person,Desktop,Unknown
15,2022-05-03 17:20:53,4172.21,"Randhawa, Khanna and Kamdar",Bhagalpur,USD,Visa,2030-08-01,Invalid,True,1,In-Person,Mobile,Contracted services
16,2023-03-21 18:41:07,1042.79,Warrior Ltd,Bokaro,INR,Visa,2028-12-01,Accepted,True,0,In-Person,Mobile,Contracted services
